#Time(s),T_Probe(K),T_VTI(K),B(T),Rxx_B_R,Rxx_B_I,Rxx_B_phase,Rxy_B_R,Rxy_B_I,Rxy_B_phase,Rxx_A_R,Rxx_A_I,Rxx_A_phase,Rxy_A_R,Rxy_A_I,Rxy_A_phase,Stabilized
#Date : 3/2/2026 1:16:37 PM,#Sample : Cu,#Comment : ,,,,,,,,,,,,,,
1.130000000E+2,2.216310000E+2,7.157290000E+1,0.000000000E+0,7.745233404E-4,1.100165842E-2,1.689789175E-1,9.437887040E-5,1.100165842E-2,1.784112387E+2,2.356754461E-3,1.150592642E-2,2.163073917E-2,2.552474279E-5,1.150592642E-2,4.330448760E+0,0.000000000E+0
1.140000000E+2,2.212430000E+2,7.176000000E+1,0.000000000E+0,7.723137459E-4,1.100458873E-2,2.366987067E-1,9.415383511E-5,1.100458873E-2,1.779627966E+2,2.350856304E-3,1.150794328E-2,3.800435011E-2,2.511661491E-5,1.150794328E-2,7.498777510E+0,0.000000000E+0
1.150000000E+2,2.208590000E+2,7.194240000E+1,0.000000000E+0,7.715842920E-4,1.100658487E-2,1.632234848E-1,9.267822016E-5,1.100658487E-2,1.786124702E+2,2.345780031E-3,1.150990220E-2,2.508158531E-2,2.808667356E-5,1.150990220E-2,1.391629620E+0,0.000000000E+0
1.160000000E+2,2.204770000E+2,7.212330000E+1,-0.000000000E+0,7.698229201E-4,1.100844450E-2,2.629797938E-1,9.226794089E-5,1.100844450E-2,1.772126909E+2,2.342144969E-3,1.151160267E-2,5.565293473E-2,2.621395803E-5,1.151160267E-2,6.171335810E+0,0.000000000E+0
1.170000000E+2,2.201000000E+2,7.231280000E+1,-0.000000000E+0,7.690906981E-4,1.101038206E-2,2.393315759E-1,9.028933123E-5,1.101038206E-2,1.780470085E+2,2.338622522E-3,1.151369263E-2,4.716563904E-2,2.683767831E-5,1.151369263E-2,4.967409294E+0,0.000000000E+0
1.180000000E+2,2.197260000E+2,7.231280000E+1,-0.000000000E+0,7.671709360E-4,1.101211049E-2,3.016046601E-1,9.187232030E-5,1.101211049E-2,1.765811796E+2,2.333380706E-3,1.151563163E-2,6.726225413E-2,2.701903447E-5,1.151563163E-2,7.592285428E+0,0.000000000E+0
1.190000000E+2,2.193550000E+2,7.270600000E+1,-0.000000000E+0,7.645159574E-4,1.101425939E-2,1.342251182E-1,9.324636557E-5,1.101425939E-2,1.790065799E+2,2.327188894E-3,1.151763108E-2,2.098091978E-2,2.482556678E-5,1.151763108E-2,1.486066504E-1,0.000000000E+0
1.200000000E+2,2.189850000E+2,7.292500000E+1,-0.000000000E+0,7.620101242E-4,1.101561950E-2,1.907703122E-1,9.442776184E-5,1.101561950E-2,1.781133544E+2,2.320486344E-3,1.151943473E-2,2.310212945E-2,2.376472920E-5,1.151943473E-2,4.704535491E+0,0.000000000E+0
1.210000000E+2,2.186140000E+2,7.300950000E+1,-0.000000000E+0,7.593536057E-4,1.101746754E-2,2.634887201E-1,9.596792897E-5,1.101746754E-2,1.774183399E+2,2.315239958E-3,1.152108741E-2,5.002837984E-2,2.259272602E-5,1.152108741E-2,6.601322309E+0,0.000000000E+0
1.220000000E+2,2.182440000E+2,7.317850000E+1,0.000000000E+0,7.594014471E-4,1.101912606E-2,1.861095738E-1,9.284166559E-5,1.101912606E-2,1.775320561E+2,2.312932104E-3,1.152310013E-2,3.890477552E-2,2.496555208E-5,1.152310013E-2,5.581154403E+0,0.000000000E+0
