#T,rhoxx,Ixx
4.1234100e+00,4.8148923e-11,1.1643445e-02
4.1235100e+00,4.9056069e-11,1.1643445e-02
4.1235700e+00,4.9509849e-11,1.1643442e-02
4.1237100e+00,5.5345590e-11,1.1643461e-02
4.1237800e+00,5.2628173e-11,1.1643451e-02
4.1238500e+00,4.8524445e-11,1.1643459e-02
4.1240000e+00,4.4006417e-11,1.1643419e-02
4.1240500e+00,4.9745404e-11,1.1643444e-02
4.1241600e+00,4.2969668e-11,1.1643433e-02
4.1243100e+00,5.6527898e-11,1.1643480e-02
4.1243500e+00,5.5396196e-11,1.1643444e-02
4.1244600e+00,3.9580160e-11,1.1643477e-02
4.1246200e+00,4.3783433e-11,1.1643460e-02
4.1246600e+00,4.5191224e-11,1.1643445e-02
4.1247700e+00,6.2314803e-11,1.1643480e-02
4.1249300e+00,6.9507516e-11,1.1643477e-02
4.1249700e+00,5.1915562e-11,1.1643442e-02
4.1250800e+00,6.9966472e-11,1.1643468e-02
4.1252200e+00,4.7319117e-11,1.1643450e-02
4.1252800e+00,2.6179616e-11,1.1643449e-02
4.1253800e+00,4.8395606e-11,1.1643437e-02
4.1255400e+00,5.0528448e-11,1.1643434e-02
4.1256100e+00,4.5636677e-11,1.1643452e-02
4.1257000e+00,5.4564991e-11,1.1643406e-02
4.1258600e+00,4.3614580e-11,1.1643442e-02
4.1259600e+00,4.8740041e-11,1.1643448e-02
4.1260200e+00,4.6153202e-11,1.1643477e-02
4.1261900e+00,4.6275449e-11,1.1643466e-02
4.1263100e+00,4.3056280e-11,1.1643459e-02
4.1263600e+00,4.9998050e-11,1.1643454e-02
4.1265300e+00,3.9916713e-11,1.1643469e-02
4.1266700e+00,4.9421389e-11,1.1643444e-02
4.1267000e+00,4.1621381e-11,1.1643500e-02
4.1268800e+00,5.5867925e-11,1.1643512e-02
4.1270300e+00,4.9725535e-11,1.1643444e-02
4.1270600e+00,3.2499667e-11,1.1643487e-02
4.1272500e+00,4.7037293e-11,1.1643484e-02
4.1274100e+00,3.1900100e-11,1.1643433e-02
4.1274300e+00,5.4258996e-11,1.1643474e-02
4.1276100e+00,3.2924923e-11,1.1643469e-02
4.1278000e+00,4.5192734e-11,1.1643477e-02
4.1278100e+00,5.4958258e-11,1.1643425e-02
4.1279900e+00,4.8584594e-11,1.1643487e-02
4.1281900e+00,5.0784286e-11,1.1643503e-02
4.1282200e+00,4.0541017e-11,1.1643399e-02
4.1283800e+00,3.4836575e-11,1.1643441e-02
4.1285700e+00,4.7361283e-11,1.1643461e-02
4.1286300e+00,2.8262634e-11,1.1643428e-02
4.1287700e+00,5.4964646e-11,1.1643461e-02
4.1289700e+00,4.8413183e-11,1.1643451e-02
4.1290500e+00,5.1495723e-11,1.1643440e-02
4.1291500e+00,6.0458722e-11,1.1643431e-02
